codigo_alimento,descricao_alimento
7901703,QUEIJO COLONIAL
7901705,QUEIJO DE COLONIA
7901801,QUEIJO MUZARELLA
7901803,MUSSARELA / MUCARELA
7901807,MUSSARELA / MUCARELA DE BUFALA
7901809,QUEIJO DE BUFALA
7901901,QUEIJO DE REINO
7902001,QUEIJO DE MINAS
7902003,QUEIJO DE MANTEIGA
7902004,QUECHIMIA
7902005,QUEIJO DE COALHO
7902008,QUEIJO CANASTRA
7902201,QUEIJO RICOTA
7902301,LEITE DE SOJA COM SABOR
7902303,ADES ORIGINAL
7902403,QUEIJO RALADO
7902501,QUEIJO PROVOLONE
7902801,QUEIJO POLENGUINHO
7902901,REQUEIJAO
7902902,QUEIJO CREMOSO
7903001,QUEIJO NAO ESPECIFICADO
7903101,LEITE COM SABOR
7903102,LEITE ACHOCOLATADO
7903109,LEITE AROMATIZADO
7903110,BEBIDA ACHOCOLATADA
7903201,NATA DOCE OU SALGADA
7903301,QUEIJO GORGONZOLA
7903402,TOFU
7903501,LEITE DE SOJA EM PO
7903601,LEITE DE VACA DESNATADO
7903702,LEITE DE VACA SEMIDESNATADO
7903801,LEITE NAO ESPECIFICADO PASTEURIZADO
7903901,IOGURTE DE QUALQUER SABOR LIGHT
7904001,IOGURTE DE QUALQUER SABOR DIET
7904201,MARGARINA LIGHT
7905103,MUSSARELA / MUCARELA LIGHT
7905104,QUEIJO MUSSARELA / MUCARELA LIGHT
7905201,LEITE DE SOJA COM SABOR LIGHT
7905203,ADES LIGHT
7905601,CREME DE LEITE LIGHT
7905901,QUEIJO PRATO LIGHT
7906001,QUEIJO DE MINAS LIGHT
7906005,QUEIJO DE COALHO LIGHT
7906201,QUEIJO RICOTA LIGHT
7906303,QUEIJO RALADO LIGHT
7906401,QUEIJO POLENGUINHO LIGHT
7906501,REQUEIJAO LIGHT
7906601,QUEIJO NAO ESPECIFICADO LIGHT
7906702,LEITE ACHOCOLATADO LIGHT
7906710,BEBIDA ACHOCOLATADA LIGHT
7906801,LEITE COM SABOR DIET
7906802,LEITE ACHOCOLATADO DIET
7906810,BEBIDA ACHOCOLATADA DIET
7906901,LEITE DE SOJA EM PO LIGHT
7907001,LEITE EM PO COM SABOR
7907101,MANTEIGA COM OU SEM SAL LIGHT
7980001,LEITE SEM LACTOSE
7980101,KEFIR
8000101,PAO FRANCES
8000102,PAO DAGUA
8000103,PAO DE HAMBURGUER
8000105,PAO DE SAL
8000106,PAO DE TRIGO
8000107,PAO CACETINHO
8000109,PAO CARECA
8000145,PAO CIABATA
8000157,PAO BRANCO NAO ESPECIFICADO
8000158,PAOZINHO
8000201,PAO DOCE
8000203,CHINEQUE
8000208,PAO DOCE COM RECHEIO
8000213,PAO DE LEITE
8000218,CHINEQUE COM FAROFA
8000223,PAO DE COCO
8000229,PAO DE MEL
8000231,PAO ALEMAO (PUMPERNICKEL)
8000234,PANETONE
8000237,BISNAGUINHA
8000240,CROISSANT
8000245,PAO AUSTRALIANO
8000249,PAO DOCE SEM RECHEIO
8000250,VANDERLEIA
8000501,PAO DE FORMA INDUSTRIALIZADO DE QUALQUER MARCA
8000801,PAO DE QUEIJO
8001101,PAO DE MILHO
8001301,PAO DE CENTEIO
8001302,PAO PRETO NAO ESPECIFICADO
8001401,PAO INTEGRAL
8001407,PAO ARABE INTEGRAL
8001408,PAO CACETINHO INTEGRAL
8001409,PAO CARECA INTEGRAL
8001410,PAO CENTEIO INTEGRAL
8001411,PAO DE SAL INTEGRAL
8001412,PAO DE TRIGO INTEGRAL
8001413,PAO FRANCES INTEGRAL
8001414,PAOZINHO INTEGRAL
8001501,PAO NAO ESPECIFICADO
8001901,TORRADA DE QUALQUER PAO
8002001,ROSCA DOCE
8002002,ROSQUINHA DOCE
8002101,ROSCA SALGADA
8002106,ROSQUINHA SALGADA
8002201,BISCOITO SALGADO
8002205,PRESUNTINHO BISCOITO
8002212,BISCOITO DE POLVILHO
8002217,GRESSINI / GRISSINI (PALITO DE PAO)
8002225,BOLACHA SALGADA
8002227,CHIPS (SALGADINHOS)
8002230,BACONZITOS
8002236,BISCOITO SALGADO INTEGRAL
8002246,"SALGADINHO DE MILHO (TIPO DORITOS, FANDANGOS, CHEETOS)"
8002252,TORRADA CENTEIO
8002253,TORRADA DOCE
8002254,TORRADA INTEGRAL
8002255,SALGADINHO BATATA CHIPS (TIPO RUFFLES)
8002256,SALGADINHO TIPO TORCIDA
8002301,BISCOITO DOCE
8002302,CAVACO CHINES
8002305,SEQUILHO
8002306,TARECO
8002309,SOLDA/ SODA/ BOLACHA DE RAPADURA
8002315,BREVIDADE
8002334,BOLACHA DOCE
8002335,MARIA MALUCA (BOLACHA DOCE)
8002405,QUEBRA QUEBRA
8002502,ROCAMBOLE
8002503,CUCA DE QUALQUER TIPO
8002508,ROCAMBOLE DOCE
8002509,BOLO DE ROLO
8002601,BOLO DE MILHO
8002605,ANGUSOR DE MILHO
8002609,GRUSTOLI (BOLINHO DOCE)
8002612,BOLO DE FUBA
8002613,BOLO DE FUBA CREMOSO
8002701,BOLO DE AIPIM
8002702,BOLO DE TAPIOCA
8002703,BOLO DE MACAXEIRA
8002704,BOLO DE GOMA
8002705,BOLO DE MANDIOCA
8002709,BOLO DE MANIVA
8002801,BOLO DE BATATA DOCE
8002901,BOLO DE ARROZ
8003101,BOLO DE CARA
8003501,TORTAS DOCES DE QUALQUER SABOR
8003503,STRUDEL DE MACA
8003601,TORTAS SALGADAS DE QUALQUER SABOR
8003701,SONHO
8003702,FILHOS (BOLINHO DE FARINHA DE TRIGO E OVOS)
8003703,SONHO RECHEADO COBERTO COM ACUCAR
8003704,SONHO RECHEADO COM COBERTURA DE CHOCOLATE
8003801,BOLO DE CHOCOLATE
8003802,MUFFIN
8003902,BRIOCHE
8004001,BOLO DE LARANJA
8004101,BOLO DE COCO
8004201,BOLO DE CENOURA
8004403,PAO DE ALHO
8004601,BOLO DE TRIGO
8004602,PAO DE LO
8004603,BOLO SIMPLES
8004701,BROA
8004801,BISCOITO RECHEADO
8004807,WAFFER / WAFER (BISCOITO)
8004809,ALFAJORES (BISCOITO)
8004810,BOLACHA RECHEADA
8004813,ROSCA RECHEADA
8004814,ROSQUINHA RECHEADA DE QUALQUER SABOR
8005201,BISCOITO NAO ESPECIFICADO
8006101,CREPE
8006102,CREPE / PANQUECA DOCE
8006103,CREPE / PANQUECA DE CHOCOLATE
8006104,CREPE / PANQUECA DE DOCE DE LEITE
8006105,CREPE / PANQUECA DE FRUTA COM ACUCAR E CANELA
8006106,CREPE / PANQUECA DE FRUTA COM CHANTILLY
8006107,CREPE / PANQUECA DE GELEIA
8006108,CREPE / PANQUECA DE NUTELLA
8006401,PAO ARABE
8006501,PAO DIET (DE FORMA INDUSTRIALIZADO)
8006601,PAO LIGHT (DE FORMA INDUSTRIALIZADO)
8006701,PAO DE QUEIJO LIGHT
8006801,PAO INTEGRAL LIGHT
8007001,TORTAS DOCES DE QUALQUER SABOR LIGHT
8007101,TORTAS DOCES DE QUALQUER SABOR DIET
8007302,FILHOS (BOLINHO DE FARINHA DE TRIGO E OVOS) LIGHT
8007402,FILHOS (BOLINHO DE FARINHA DE TRIGO E OVOS) DIET
8007501,BOLO DE CHOCOLATE LIGHT
8007601,BOLO DE CHOCOLATE DIET
8007701,BOLO DE LARANJA LIGHT
8008001,BOLO DE COCO DIET
8008201,BOLO DE CENOURA DIET
8008301,BISCOITO RECHEADO LIGHT
8008305,BISCOITO WAFFER / WAFER LIGHT
8008307,WAFFER / WAFER (BISCOITO) LIGHT
8008309,ALFAJORES (BISCOITO) LIGHT
8008310,BOLACHA RECHEADA LIGHT
8008401,BISCOITO RECHEADO DIET
8008408,ROSQUINHA RECHEADA DE QUALQUER SABOR DIET
8008410,BOLACHA RECHEADA DIET
8010001,PAO DOCE DIET
8010029,PAO DE MEL DIET
8010034,PANETONE DIET
8010101,BISCOITO SALGADO LIGHT
8010125,BOLACHA SALGADA LIGHT
8010127,CHIPS (SALGADINHOS) LIGHT
8010401,BISCOITO DOCE LIGHT
8010434,BOLACHA DOCE LIGHT
8010501,BISCOITO DOCE DIET
8010534,BOLACHA DOCE DIET
8010601,BOLO DE BANANA
8010602,BOLO DE ABACAXI
8010604,BOLO DE FRUTA
8010605,BOLO DE LIMAO
8011601,PAO PARA WRAP
8011602,PAO SEM GLUTEN
8011701,PAO DE BATATA
8011801,PAO DE BATATA RECHEADO
8011901,SALGADINHO DE ARROZ (TIPO CAMIL)
8012601,BOLO CUCA
8012602,CUCA ALEMA
8012701,BOLO DE ABOBORA
8012702,BOLO DE CENOURA COM RECHEIO E COBERTURA DE CHOCOLATE
8012901,BOLO DE CENOURA SEM RECHEIO COM COBERTURA
8013001,BOLO DE CHOCOLATE COM RECHEIO E COBERTURA
8013101,BOLO DE FECULA DE BATATA
8013201,BOLO DIET SIMPLES
8013301,BOLO DOCE COM RECHEIO E COBERTURA
8013302,CUPCAKE
8013303,PROFITEROLES (COM RECHEIO E COBERTURA DE CHOCOLATE)
8013401,BOLO INGLES
8013501,CREPE / PANQUECA COM RICOTA E ESPINAFRE
8013601,BROWNIE
8013701,CHEESECAKE
8013801,CROISSANT COM RECHEIO DOCE
8013901,CROISSANT COM RECHEIO SALGADO
8014001,MADALENA
8014101,PANETONE SALGADO
8014301,PRETZELS
8080001,PAO CASEIRO
8080101,TAPIOCA
8080102,TAPIOCA RECHEIO NAO-ESPECIFICADO
8080103,TAPIOCA DOCE RECHEADA
8080104,TAPIOCA RECHEADA COM CARNE E QUEIJO
8080105,TAPIOCA RECHEADA COM QUEIJO
8080106,TAPIOCA SALGADA RECHEADA
8100101,CARNE SECA
8100102,CARNE DE CHARQUE
8100103,JABA
8100201,CARNE DE SOL
8100202,CARNE DO SERTAO
8100502,HAMBURGUER DE CARNE BOVINA
8100802,COPA DE PORCO DEFUMADA
8101005,BACON
8101101,HAMBURGUER DE FRANGO
8102101,SALSICHA
8102103,SALSICHAO
8102204,"LINGUICA  (SUINA, BOVINA, MISTA, ETC)"
8102205,LINGUICA CALABRESA
8102207,LINGUICA DE FRANGO
8102401,CHOURICO
8102402,MORCELA
8102403,MORCILHA
8102501,PAIO
8102601,MORTADELA
8102701,SALAME
8102702,SALAMINHO
8102801,BLANQUET DE PERU
8102901,PRESUNTO
8102905,PRESUNTO PARMA
8103001,HAMBURGUER DE PERU
8103003,HAMBURGUER DE PEIXE
8103101,HAMBURGUER NAO ESPECIFICADO
8103601,APRESUNTADO
8103901,PURURUCA DE PORCO
8103902,PELE DE PORCO PREPARADA
8103903,LEITAO A PURURUCA
8104001,"PATE (FIGADO, CALABRES, FRANGO, PRESUNTO, ETC)"
8104101,CARNE DE AVES DEFUMADA
8104601,CARNE SALGADA NAO ESPECIFICADA
8104904,MINI CHICKEN EMPANADO
8105001,MORTADELA LIGHT
8105201,SALSICHA LIGHT
8105401,SALAME LIGHT
8105501,BLANQUET DE PERU LIGHT
8105701,HAMBURGUER NAO ESPECIFICADO LIGHT
8106901,SARDELA
8200101,REFRIGERANTE DE COLA TRADICIONAL
8200102,COCA COLA TRADICIONAL
8200202,FANTA LARANJA TRADICIONAL
8200208,SUKITA TRADICIONAL
8200211,REFRIGERANTE DE LARANJA TRADICIONAL
8200301,REFRIGERANTE DE GUARANA TRADICIONAL
8200302,GUARANA TRADICIONAL
8200308,REFRESCO DE GUARANA NATURAL
8200407,SPRITE REFRIGERANTE TRADICIONAL
8200411,REFRIGERANTE DE LIMAO TRADICIONAL
8200505,FANTA UVA TRADICIONAL
8200507,REFRIGERANTE DE UVA TRADICIONAL
8200701,REFRIGERANTE DE COLA LIGHT
8200702,COCA COLA LIGHT
8200801,REFRIGERANTE DE COLA DIET
8200902,MINUANO TRADICIONAL
8201004,AGUA MINERAL
8201005,AGUA MINERAL SEM GAS
8201007,AGUA MINERAL COM GAS
8201015,AGUA MINERAL GASEIFICADA COM SUMO DE FRUTA
8201017,"BEBIDA REFRIGERANTE, TIPO H2O"
8201104,MATE TRADICIONAL
8201202,BIDU TRADICIONAL
8201502,FANTA LARANJA LIGHT
8201511,REFRIGERANTE DE LARANJA DIET
8201601,REFRIGERANTE DE GUARANA LIGHT
8201602,GUARANA LIGHT
8201802,TUBAINA TRADICIONAL
8201902,TUBAINA LIGHT
8202001,CALDO DE CANA
8202002,GARAPA
8202101,AGUA DE COCO
8202402,Q-SUCO
8202403,Q-REFRESKO
8202701,CHA PRETO
8202801,CHA MATE
8202803,ERVA MATE
8202804,CHIMARRAO
8202805,TERERE
8203401,LEVEDO DE CERVEJA
8203501,REFRIGERANTE NAO ESPECIFICADO
8203603,CEVADA EM PO
8203605,CEVADA (GRAO)
8204503,CHOCOMILK
8204902,AGUA TONICA TRADICIONAL
8205201,"CHA DIET (PRETO, CAMOMILA, ERVA CIDREIRA, CAPIM LIMAO, ETC)"
8205402,PARAGUAI REFRIGERANTE TRADICIONAL
8205801,ENERGETICO
8205803,GATORADE
8205805,BEBIDA ISOTONICA
8205901,BEBIDA ENERGETICA
8206301,"CHA (PRETO, CAMOMILA, ERVA CIDREIRA, CAPIM LIMAO, ETC)"
8207401,REFRIGERANTE DE GUARANA DIET
8207402,GUARANA DIET
8207501,REFRIGERANTE DE LIMAO LIGHT
8207601,REFRIGERANTE DE LIMAO DIET
8207701,REFRIGERANTE DE UVA DIET / LIGHT
8207705,FANTA UVA LIGHT
8208104,MATE LIGHT
8209002,AGUA TONICA LIGHT
8209102,PARAGUAI REFRIGERANTE LIGHT
8211002,Q-SUCO LIGHT
8211003,Q-REFRESKO LIGHT
8211102,Q-SUCO DIET
8212802,MATE DIET
8212902,AGUA TONICA DIET
8212906,REFRIGERANTE DE QUININO DIETETICO
8213301,"CHA VERDE, CHA BRANCO, CHA VERMELHO"
8213601,SUCO DE CLOROFILA
8215701,CHA PRETO DESCAFEINADO
8215801,"CHA VERDE, BRANCO OU VERMELHO DIET OU LIGHT"
8215901,"CHA, ERVAS NAO ESPECIFICADO"
8216001,SUCO COUVE
8216101,SUCO DETOX
8216201,SUCO VERDE
8216301,AGUA
8216401,ICE TEA LIGHT OU DIET
8216501,ICE TEA TRADICIONAL
8216601,LIMONADA
8216701,SUBSTITUTO DE CAFE NAO ESPECIFICADO
8217001,SUCO NATURAL DE FRUTA
8217101,SUCO NATURAL DE VEGETAIS
8217201,"SUCO NATURAL, MISTURA DE FRUTAS"
8217301,"SUCO NATURAL, MISTURA DE FRUTAS E VEGETAIS"
8217401,TAMPICO
8273902,CAFE COM FARINHA
8280001,AGUA COM LIMAO OU OUTRAS FRUTAS/ HORTALICAS
8280101,SUCO INDUSTRIALIZADO
8280201,SUCO DE CAJA/ MANGABA/ TAPEREBA E OUTROS REGIONAIS
8280301,SUCO DE MELANCIA
8280401,SUCO DE TAMARINDO
8280501,SUCO DE UVA
8300101,CERVEJA
8300201,CHOPP
8300301,AGUARDENTE
8300302,CACHACA
8300501,BATIDA DE QUALQUER SABOR
8300502,LEITE DE ONCA
8300701,RUM
8300801,VODKA
8300901,GIN
8301001,UISQUE
8301002,WHISKY
8301201,CHAMPANHE
8301202,SIDRA CHAMPANHE
8301203,ESPUMANTE
8301301,VERMUTE
8301501,MARTINI
8301601,CONHAQUE
8301701,DRINK DREHER
8301901,LICOR DE QUALQUER SABOR
8302409,CAJUINA
8302415,VINHO
8302416,CATUABA
8302901,COQUETEL DE FRUTAS
8303101,CAIPIRINHA
8303102,CAIPIVODKA
8303103,CAIPSAQUE / CAIPSAKE
8303301,CERVEJA SEM ALCOOL
8303401,TEQUILA
8303501,BEBIDA ALCOOLICA
8304301,CERVEJA (COM OU SEM ALCOOL) LIGHT
8304502,CAXIRI (AGUARDENTE DE MANDIOCA)
8304601,QUENTAO
8304801,CAPETA
8304901,COQUETEL DE FRUTAS COM ALCOOL
8305001,COQUETEL DE FRUTAS SEM ALCOOL
8305101,CUBA LIBRE
8305201,DRINK - MISTURA DE BEBIDAS
8305301,PISCO SOUR
8305401,PONCHE COM FRUTAS
8305501,SAKE / SAQUE
8305601,SANGRIA
8305701,"SIDRA COM FRUTAS, CIDRA COM FRUTAS"
8305801,VINHO QUENTE
8305901,VINHO SEM ALCOOL
8400101,AZEITE DE OLIVA
8400301,OLEO DE SOJA
8400401,OLEO DE MILHO
8400501,OLEO DE AMENDOIM
8400801,OLEO DE GIRASSOL
8403201,OLEO NAO ESPECIFICADO
8403303,OLEO MISTO (SOJA + AZEITE)
8403501,OLEO DE DENDE
8403601,OLEO DE COCO
8500201,SALGADINHO
8500202,"PASTEL (QUEIJO, CARNE, PALMITO, ETC)"
8500203,CROQUETE
8500205,COXINHA
8500206,"EMPADA (QUEIJO, CARNE, CAMARAO, ETC)"
8500207,"RISSOLE / RIZOLE  (QUEIJO, CARNE, CAMARAO, ETC)"
8500209,ACARAJE
8500210,TORRESMO
8500211,QUIBE
8500212,ABARA (BAHIA)
8500213,PACOCA DE CARNE DE SOL
8500215,ANGU FRITO
8500217,ANGU DE MILHO
8500218,POLENTA
8500222,ESFIRRA
8500223,ESFIRRA DE CARNE
8500224,ESFIRRA DE QUEIJO
8500225,ESFIRRA DE RICOTA
8500226,ESFIRRA DE FRANGO
8500227,ENROLADINHO
8500228,BOLINHO DE AIPIM
8500232,BOLINHO DE BACALHAU
8500302,CACHORRO QUENTE
8500303,HAMBURGUER (SANDUICHE)
8500304,CHEESBURGUER
8500305,EGGSBURGUER
8500307,BAURU
8500308,AMERICANO
8500313,MISTO QUENTE OU FRIO
8500315,SANDUICHE DE QUEIJO PRATO
8500316,SANDUICHE DE SALAME
8500317,SANDUICHE DE PRESUNTO
8500318,SANDUICHE DE QUEIJO PRATO COM PRESUNTO
8500319,SANDUICHE DE MORTADELA
8500320,SANDUICHE DE QUEIJO MINAS
8500321,CHEESE EGG
8500322,CHEESE TUDO
8500323,SANDUICHE NATURAL
8500328,CACHORRO QUENTE DE FORNO
8500329,X-BURGUER
8500330,X-CHEDDAR
8500331,"SANDUICHE PRESUNTO, QUEIJO E TOMATE"
8500332,SANDUICHE BAURU
8500333,SANDUICHE DE QUEIJO
8500334,PAO COM SALAME
8500335,PAO COM PRESUNTO
8500336,PAO COM QUEIJO E PRESUNTO
8500337,PAO COM MORTADELA
8500338,SANDUICHE DE ATUM
8500339,PAO COM ATUM
8500340,SANDUICHE DE CARNE ASSADA
8500341,PAO COM CARNE ASSADA
8500342,SANDUICHE DE FILE
8500343,PAO COM FILE
8500344,SANDUICHE DE ROSBIFE
8500345,PAO COM ROSBIFE
8500346,SANDUICHE DE CARNE DE PORCO
8500347,PAO COM CARNE DE PORCO
8500348,SANDUICHE DE FRANGO
8500349,PAO COM FRANGO
8500350,SANDUICHE DE PEITO DE PERU
8500351,PAO COM PEITO DE PERU
8500352,SANDUICHE DE SALMAO
8500353,PAO COM SALMAO
8500354,SANDUICHE DE SARDINHA
8500355,PAO COM SARDINHA
8500356,SANDUICHE  VEGETARIANO
8500357,WRAP FRANGO OU GALINHA
8500358,WRAP DE CARNE
8500359,X-EGG
8500360,X-BACON
8500361,X-EGGCHEESEBACON
8500362,X-TUDO
8500363,PAO COM QUEIJO
8500364,QUEIJO QUENTE
8500401,SUCO
8500402,SUCO DE ABACAXI
8500403,SUCO DE ACEROLA
8500404,SUCO DE BETERRABA
8500405,SUCO DE CUPUACU
8500406,SUCO DE GOIABA
8500407,SUCO DE LARANJA
8500408,SUCO DE LARANJA COM BANANA
8500409,SUCO DE LARANJA E BETERRABA
8500410,SUCO DE LARANJA E CENOURA
8500411,SUCO DE LARANJA CENOURA E BETERRABA
8500412,SUCO DE MAMAO
8500413,SUCO DE MANGA
8500414,SUCO DE MARACUJA
8500415,SUCO DE MELAO
8500416,SUCO DE MORANGO
8500417,SUCO DE PESSEGO
8500418,SUCO DE PESSEGO EM CALDA
8500501,VITAMINA
8500503,VITAMINA DE BANANA
8500504,VITAMINA DE BANANA COM AVEIA
8500505,VITAMINA DE MAMAO
8500506,VITAMINA DE ABACATE
8500507,VITAMINA DE MORANGO
8500508,VITAMINA MISTA
8500509,VITAMINA DE MACA
8500510,VITAMINA DE FRUTA COM LEITE E CEREAL
8500511,VITAMINA DE MANGA
8500601,REFRESCO
8500602,REFRESCO DE CAJU
8500603,REFRESCO DE GROSELHA
8500604,REFRESCO DE LARANJA
8500605,REFRESCO DE MARACUJA
8500606,REFRESCO DE LIMAO
8500607,REFRESCO CLIGHT
8500608,REFRESCO DE GUARANA NATURAL LIGHT / DIET
8500609,REFRESCO TANG
8500801,"SALADA OU VERDURA COZIDA, EXCETO DE FRUTA"
8500802,SALADA DE MAIONESE
8500903,PIZZA
8500904,LAZANHA
8500905,NHOQUE
8500906,CANELONI
8500907,CAPELETI
8500909,RAVIOLI
8500910,CALZONE
8500913,PANQUECA
8500914,PIZZA CALABREZA
8500915,PIZZA MUCARELA / MUSSARELA
8500916,PIZZA PRESUNTO
8500917,PIZZA PORTUGUESA
8500919,MACARRONADA
8500921,LASANHA
8500922,CAPELETTI DE CARNE
8500923,CAPELETTI DE FRANGO
8500924,PIZZA DE PEPPERONI
8500927,PIZZA DE QUEIJOS
8500928,PIZZA DE LOMBINHO DEFUMADO
8500929,PIZZA DE MUCARELA E PEITO DE PERU
8500930,PIZZA NAPOLITANA
8500932,PIZZA DE FRANGO COM CATUPIRY
8500934,"PIZZA DE PEIXE (ATUM, SALMAO, SARDINHA)"
8500935,PIZZA DE MUCARELA DE BUFALA E TOMATE SECO
8500936,"PIZZA MARGUERITA (MUCARELA, TOMATE E MANJERICAO)"
8500937,PIZZA VEGETARIANA
8500938,PIZZA DOCE DE QUALQUER SABOR
8500939,"PIZZA HAWAIANA (QUEIJO, PRESUNTO E ABACAXI)"
8501004,GALETO
8501104,COSTELA
8501202,PIPOCA DOCE OU SALGADA
8501302,CAFE
8501303,CAFE COM LEITE
8501304,CAFE TIPO EXPRESSO
8501305,CAFE TIPO CAPUCCINO
8501306,CAFE CAPPUCINO DESCAFEINADO
8501307,CAFE CAPPUCINO LIGHT / DIET
8501308,CAFE CARIOCA
8501309,CAFE COM SUBSTITUTO DO LEITE
8501310,CAFE DESCAFEINADO
8501311,CAFE EXPRESSO DESCAFEINADO
8501402,MILHO COZIDO
8501502,BATATA PALITO
8501503,BATATA PALHA
8501902,MUNGUNZA
8501903,CANJICA
8501904,CURAU
8501906,CURAU DE MILHO
8502101,FAROFA PRONTA LIGHT
8502201,FAROFA
8502202,FAROFA COM CARNE  / LINGUICA/  BACON
8502204,FAROFA COM OVOS
8502206,FAROFA DE COUVE
8502301,"MINGAU (FUBA, AVEIA, FARINHA, ETC)"
8502401,TACACA
8502501,BOLINHO DE COCO
8502701,RISOTO
8502801,VATAPA
8502901,FAROFA PRONTA
8503202,CALDO DE CARNE
8503203,CALDO DE FEIJAO
8503204,CALDO DE MOCOTO
8503208,MOCOTO BOVINO COM FEIJAO BRANCO
8503501,BAIAO DE DOIS
8503502,RUBACAO
8503801,CHURRASCO
8503802,CHURRASQUINHO
8504201,SUSHI
8504401,SALADA DE FRUTAS
8504501,"SOPA (LEGUMES, CARNE, ETC)"
8504503,SOPA / CREME DE ABOBORA
8504504,SOPA / CALDO DE CAMARAO
8504506,SOPA DE FEIJAO
8504507,SOPA DE FEIJAO COM MACARRAO
8504509,SOPA DE FRANGO COM LEGUMES
8504510,SOPA DE FUBA
8504511,SOPA DE FUBA COM COUVE / LEGUMES
8504513,SOPA DE LEGUMES
8504515,SOPA DE ENTULHO
8504517,SOPA / CALDO DE MANDIOCA / MANDIOQUINHA / BATATA BAROA / INHAME
8504519,SOPA DE LEGUMES MACARRAO E CARNE
8504520,SOPA LEAO VELOSO
8504521,SOPA DE TOMATE
8504522,SOPA / CREME DE ERVILHA
8504801,SALPICAO
8505201,CHARUTO DE REPOLHO PRONTO
8505202,CHARUTO DE REPOLHO COM CARNE BOVINA
8505203,CHARUTO DE REPOLHO COM FRANGO
8505204,CHARUTO DE REPOLHO COM PORCO
8505401,ARROZ A GREGA
8505501,ARRUMADINHO
8505502,ESCONDIDINHO
8505503,ARRUMADINHO DE CARNE SECA
8505504,ESCONDIDINHO DE CARNE SECA
8505505,ARRUMADINHO DE FRANGO OU GALINHA
8505506,ESCONDIDINHO DE FRANGO OU GALINHA
8505507,BOLO DE AIPIM / MANDIOCA / MACAXERA COM FRANGO OU GALINHA
8505508,TORTA DE BATATA COM FRANGO
8505509,ESCONDIDINHO DE CARNE
8505510,BOLO DE AIPIM / MANDIOCA / MACAXERA COM CARNE
8505511,TORTA DE BATATA COM CARNE
8505513,ESCONDIDINHO DE BACALHAU
8505514,ESCONDIDINHO DE CAMARAO
8505601,BOBO DE CAMARAO
8505602,BOBO DE FRUTOS DO MAR
8505603,BOBO DE FRANGO OU GALINHA
8505701,"CARURU (QUIABO, AMENDOIM, CASTANHA DE CAJU, CAMARAO SECO, ETC)"
8505801,CUSCUZ PAULISTA
8505802,CUSCUZ DE ATUM
8505803,CUSCUZ DE CAMARAO
8505804,CUSCUZ MINEIRO
8505805,CUSCUZ DE LEGUMES
8505806,CUSCUZ MARROQUINO
8505901,"EMPADAO (QUEIJO, FRANGO, CAMARAO, PALMITO, ETC)"
8506001,FAROFA DE BANANA
8506101,FEIJAO TROPEIRO
8506201,GALINHA COM ARROZ
8506301,GALINHADA
8506302,GALINHADA CAIPIRA
8506303,GALINHADA COM PEQUI
8506401,MOQUECA / MUQUECA BAIANA
8506404,MOQUECA / MUQUECA DE CAMARAO
8506405,MOQUECA / MUQUECA DE FRUTOS DO MAR
8506406,MOQUECA / MUQUECA DE LAGOSTA
8506407,MOQUECA / MUQUECA DE PEIXE
8506408,MOQUECA / MUQUECA NAO ESPECIFICADA
8506501,OMELETE
8506502,TORTILHA
8506503,OMELETE COM CARNE
8506505,OMELETE COM LEGUMES
8506509,OMELETE COM QUEIJO E PRESUNTO
8506511,OVO BENEDICT
8506601,PIRAO
8506605,PIRAO DE LEITE
8506701,QUIBEBE
8506801,QUICHE
8506901,SUFLE
8507001,TUTU
8507101,MOQUECA / MUQUECA CAPIXABA
8507201,MANICOBA
8507301,CALDO VERDE
8507401,ARROZ DE CUXA
8507501,ANGU A BAIANA
8507502,ANGU COM CARNE MOIDA E TOMATE
8507503,POLENTA COM CARNE MOIDA E TOMATE
8507601,CHOCOLATE
8507701,GEMADA
8507801,ACAI
8507802,ACAI COM GUARANA E GRANOLA
8508004,LASANHA / LAZANHA LIGHT
8508017,PIZZA PORTUGUESA LIGHT
8508301,VACA ATOLADA
8508302,ATOLADO DE CARNE MOIDA
8508303,COSTELA COM AIPIM / MACAXEIRA / MANDIOCA
8508304,COSTELA COM BATATA
8508305,ATOLADO DE CARNE SECA
8508306,CARNE DE SOL ATOLADA
8508307,ATOLADO DE FRANGO OU GALINHA
8508401,"SALADA OU VERDURA CRUA, EXCETO DE FRUTA"
8509901,"PASTEL DE FORNO/ PASTEL ASSADO  (QUEIJO, CARNE, PALMITO, ETC)"
8510002,"PASTEL DE FORNO INTEGRAL / PASTEL ASSADO INTEGRAL  (QUEIJO, CARNE, PALMITO, ETC)"
8510101,CACHORRO QUENTE COMPLETO
8510201,X-CHICKEN
8510202,X-FRANGO OU GALINHA
8510301,X-SALADA
8510401,SALADA CAESER / CESAR / CISER / CEASER
8510501,SALADA DE AIPO COM MACA
8510601,"SALADA DE ALFACE, TOMATE E CEBOLA"
8510701,SALADA DE ARROZ
8510801,SALADA DE ATUM
8510901,SALADA DE BACALHAU COM BATATAS
8510902,SALADA DE BATATA E ATUM
8511001,SALADA DE FEIJAO FRADINHO
8511003,SALADA DE GRAO-DE-BICO
8511101,SALADA DE FOLHAS
8511102,SALADA DE RUCULA E TOMATE SECO
8511201,SALADA DE LEGUMES
8511301,SALADA DE LENTILHAS
8511401,SALADA DE TOMATE
8511501,TABULE
